id_producto,nombre,categoria,precio,costo,stock,proveedor,fecha_ingreso,activo,rating,id_cliente,apellido,email,telefono,direccion,ciudad,pais,fecha_registro,segmento,id_venta,fecha,cantidad,precio_unitario,descuento,impuestos,metodo_pago,vendedor,total
1.0,Casa Encuentra,Libros,120.22,372.07,125.0,Farmaceútica Lobato & Asociados S.C.P,2024-01-20,True,1.6,,,,,,,,,,,,,,,,,,
2.0,Civil Animales,Electrónicos,679.93,446.63,44.0,Suministros Morán & Asociados S.L.N.E,2025-09-12,False,1.1,,,,,,,,,,,,,,,,,,
3.0,Ministro Ir,Electrónicos,226.45,255.15,13.0,Compañía Valera y asociados S.Coop.,2024-05-21,True,3.9,,,,,,,,,,,,,,,,,,
4.0,Alguien Buen,Libros,549.49,114.12,301.0,Aznar y Valentín S.L.,2025-05-01,False,4.2,,,,,,,,,,,,,,,,,,
5.0,Alguna Debía,Electrónicos,761.22,84.03,216.0,Dorita Mancebo Iglesias S.A.,2024-10-15,False,2.1,,,,,,,,,,,,,,,,,,
6.0,Llegar Da,Hogar,957.64,171.61,47.0,Banca Privada Internacionales S.L.,2024-09-15,False,1.4,,,,,,,,,,,,,,,,,,
7.0,Estuvo Acto,Deportes,607.69,404.53,373.0,Restauración Peralta & Asociados S.Coop.,2024-02-14,False,3.1,,,,,,,,,,,,,,,,,,
8.0,Pasa Realizar,Moda,88.01,150.12,321.0,Maristela Coronado Roda S.L.,2023-11-12,False,3.3,,,,,,,,,,,,,,,,,,
9.0,Económica Rosa,Libros,78.86,332.33,395.0,Carvajal & Asociados S.L.,2024-02-23,False,4.9,,,,,,,,,,,,,,,,,,
10.0,Primera Dijo,Hogar,867.82,193.16,232.0,Grupo Teruel S.Coop.,2025-06-26,False,1.7000000000000002,,,,,,,,,,,,,,,,,,
11.0,Tales Primeras,Deportes,217.41,137.15,479.0,Farmaceútica Aguirre & Asociados S.C.P,2024-04-07,True,3.4,,,,,,,,,,,,,,,,,,
12.0,Real Actitud,Hogar,538.8,126.18,236.0,Grupo Santos S.L.L.,2024-02-20,False,2.1,,,,,,,,,,,,,,,,,,
13.0,Grado Muchas,Libros,691.28,113.71,166.0,Comercializadora Goicoechea & Asociados S.Com.,2025-09-16,True,1.9,,,,,,,,,,,,,,,,,,
14.0,Nuevas Iglesia,Electrónicos,807.0,203.58,33.0,Banca Privada URK S.A.,2025-06-11,True,4.7,,,,,,,,,,,,,,,,,,
15.0,Son Unas,Juguetes,877.6,160.77,335.0,Farmaceútica Raya S.L.N.E,2024-11-26,False,2.6,,,,,,,,,,,,,,,,,,
16.0,Concepto Mundial,Libros,464.26,136.12,126.0,Martí y Paredes S.A.,2025-02-04,False,4.0,,,,,,,,,,,,,,,,,,
17.0,Negro Acciones,Moda,898.84,202.7,112.0,Luis Roca Rovira S.Coop.,2024-05-10,True,3.0,,,,,,,,,,,,,,,,,,
18.0,Hablar Podrá,Electrónicos,758.22,431.25,78.0,Banca Privada Integrales S.A.,2024-09-18,True,4.2,,,,,,,,,,,,,,,,,,
19.0,Tener Llegado,Moda,600.44,195.46,305.0,Inversiones Integrales S.Com.,2024-02-21,False,3.1,,,,,,,,,,,,,,,,,,
20.0,Luego Expresión,Juguetes,862.17,10.68,369.0,Infraestructuras Hierro S.A.,2024-04-19,True,3.7,,,,,,,,,,,,,,,,,,
21.0,González Cuatro,Juguetes,753.37,385.46,174.0,Hermanos Mercader S.A.,2025-03-03,True,2.2,,,,,,,,,,,,,,,,,,
22.0,Menos Llegado,Hogar,459.19,477.14,448.0,Marisa Salmerón Portero S.C.P,2025-05-01,False,4.9,,,,,,,,,,,,,,,,,,
23.0,Parece Habrá,Hogar,512.6,57.67,320.0,Finanzas Merino & Asociados S.L.,2025-10-11,False,4.4,,,,,,,,,,,,,,,,,,
24.0,Gente También,Juguetes,612.88,80.66,390.0,Fulgencio Bilbao Carlos S.L.L.,2025-09-29,True,3.2,,,,,,,,,,,,,,,,,,
25.0,Amigo Próximo,Juguetes,919.31,301.48,250.0,Familia Durán S.Com.,2024-10-09,True,1.4,,,,,,,,,,,,,,,,,,
26.0,Interés Que,Deportes,879.93,416.67,157.0,Restauración Castellana S.C.P,2024-04-01,True,1.2,,,,,,,,,,,,,,,,,,
27.0,Zona Hora,Juguetes,947.48,47.4,248.0,Comercializadora Martín S.A.,2025-10-03,True,4.9,,,,,,,,,,,,,,,,,,
