id_cliente,nombre,apellido,email,telefono,direccion,ciudad,pais,fecha_registro,segmento,id_producto,categoria,precio,costo,stock,proveedor,fecha_ingreso,activo,rating,id_venta,fecha,cantidad,precio_unitario,descuento,impuestos,metodo_pago,vendedor,total
1.0,Chita,Barroso,blasbarcena@example.net,+34868 66 82 13,"Callejón Macarena Velázquez 4 Piso 0 , Cuenca, 36725",Cuenca,Palau,2024-09-13,Premium,,,,,,,,,0.0,,,,,,,,,
2.0,Dionisio,Arco,remediosmolins@example.com,+34844 944 515,"Paseo Salvador Amat 91 Apt. 21 , Palencia, 11852",Melilla,Portugal,2023-04-05,Premium,,,,,,,,,0.0,,,,,,,,,
3.0,Modesto,Diez,abrilluisa@example.org,+34980 680 196,"Urbanización de Eva Pacheco 625, Madrid, 40566",Girona,Ucrania,2025-03-16,Standard,,,,,,,,,0.0,,,,,,,,,
4.0,Eustaquio,Vilaplana,silvio93@example.net,+34841 99 50 31,"Acceso Bibiana Verdugo 686, Melilla, 38789",Toledo,Hungría,2025-09-19,Premium,,,,,,,,,0.0,,,,,,,,,
5.0,Leticia,Landa,qsoria@example.org,+34886 58 86 20,"Cuesta Bruno Garcés 9, Lleida, 43888",Ourense,Sudáfrica,2023-09-17,Standard,,,,,,,,,0.0,,,,,,,,,
6.0,Jeremías,Bolaños,quevedozoraida@example.org,+34 828222622,"Alameda de Marisa Montesinos 51 Piso 1 , Santa Cruz de Tenerife, 05276",León,Sri Lanka,2023-11-03,Standard,,,,,,,,,0.0,,,,,,,,,
7.0,Espiridión,Huguet,ynovoa@example.net,+34973 388 073,"Glorieta Macarena Pascual 675 Piso 4 , Palencia, 16192",Toledo,Somalia,2025-08-07,Standard,,,,,,,,,0.0,,,,,,,,,
8.0,Lupita,Villanueva,hanglada@example.com,+34 848 79 94 79,"Acceso Cándido Millán 93 Piso 0 , Segovia, 20082",Málaga,Países Bajos,2025-05-24,Premium,,,,,,,,,0.0,,,,,,,,,
9.0,Roberta,Salvador,nidia17@example.org,+34 981 609 018,"Glorieta de Esteban Camacho 69 Puerta 9 , Sevilla, 31351",Sevilla,Maldivas,2023-01-22,Standard,,,,,,,,,0.0,,,,,,,,,
10.0,Fulgencio,Plaza,paulino25@example.net,+34 965970943,"Callejón Mariano Escudero 70, Cuenca, 19984",Vizcaya,Dinamarca,2025-05-25,Standard,,,,,,,,,0.0,,,,,,,,,
11.0,Marita,Gutierrez,zcoello@example.org,+34 946429125,"Via Angelita Lladó 9, Vizcaya, 14570",Lugo,Botswana,2024-07-27,Básico,,,,,,,,,0.0,,,,,,,,,
12.0,Cleto,Villena,vbosch@example.org,+34 865 748 685,"Camino de Heraclio Antón 574 Puerta 0 , Vizcaya, 51563",Madrid,Luxemburgo,2024-10-04,Básico,,,,,,,,,0.0,,,,,,,,,
13.0,Nerea,Pulido,aguadojuan-carlos@example.org,+34 976 92 70 27,"Via de Florencio Diéguez 713 Puerta 7 , Huesca, 29199",Navarra,Ecuador,2025-06-09,Premium,,,,,,,,,0.0,,,,,,,,,
14.0,Encarnita,Jove,reyna81@example.net,+34 928 68 20 89,"C. de Aitana Canales 81 Puerta 9 , Alicante, 32796",Ciudad,Nueva Zelandia,2023-09-21,Básico,,,,,,,,,0.0,,,,,,,,,
15.0,Dorita,Ávila,herviafito@example.org,+34 988 411 014,"Cañada de Ángeles Manso 61, La Rioja, 01316",Lleida,Palau,2024-08-16,Premium,,,,,,,,,0.0,,,,,,,,,
16.0,Valero,Gisbert,concepcionvalverde@example.com,+34822 668 551,"Avenida Nuria Diego 176, Pontevedra, 30531",Melilla,Camboya,2023-04-02,Standard,,,,,,,,,0.0,,,,,,,,,
17.0,Álvaro,Mateu,zaida53@example.net,+34 888538508,"Avenida Javier Gómez 292 Puerta 2 , Cádiz, 11068",Lugo,Arabia Saudita,2025-05-08,Básico,,,,,,,,,0.0,,,,,,,,,
18.0,Azahara,Cantón,fpont@example.org,+34927 248 873,"Plaza Isidro Vidal 1, Baleares, 05209",Almería,Uganda,2023-04-02,Premium,,,,,,,,,0.0,,,,,,,,,
19.0,Tomás,Morante,obdulia18@example.net,+34 988 089 232,"Via de Benigno Cerdán 222, Salamanca, 27626",Cáceres,Suiza,2022-11-20,Standard,,,,,,,,,0.0,,,,,,,,,
20.0,Fátima,Sarabia,teo88@example.net,+34 876 469 129,"Paseo de Concha Cuadrado 92 Puerta 3 , León, 37023",León,Zimbabwe,2023-08-01,Básico,,,,,,,,,0.0,,,,,,,,,
21.0,Norberto,Ureña,jose-angelrubio@example.net,+34 880 804 051,"Pasaje Ruben Colom 8 Piso 8 , Córdoba, 40486",Sevilla,Belarús,2023-11-22,Básico,,,,,,,,,0.0,,,,,,,,,
22.0,Espiridión,Egea,cayetano43@example.net,+34885308696,"Camino Daniel Pla 24, Granada, 23106",Ourense,Ecuador,2023-03-17,Premium,,,,,,,,,0.0,,,,,,,,,
23.0,Silvia,Matas,maria-angeles95@example.net,+34 942 998 426,"Vial de Tito Morales 17, Asturias, 45418",Huesca,Liechtenstein,2023-07-25,Standard,,,,,,,,,0.0,,,,,,,,,
24.0,Loreto,Caparrós,duranchus@example.com,+34901 87 00 12,"Pasaje de Aura Asenjo 88, Pontevedra, 08545",Albacete,Sudáfrica,2024-06-27,Básico,,,,,,,,,0.0,,,,,,,,,
25.0,Clementina,Castellanos,rosalvacarrillo@example.com,+34818 974 066,"Vial de Raimundo Gilabert 95 Puerta 1 , Ciudad, 28612",Guadalajara,Líbano,2024-03-27,Standard,,,,,,,,,0.0,,,,,,,,,
26.0,Valerio,Flores,orio@example.com,+34828 96 42 14,"Glorieta de Bonifacio Roldan 769, Segovia, 12834",Salamanca,Gabón,2023-08-24,Standard,,,,,,,,,0.0,,,,,,,,,
27.0,Reyes,Aller,jnarvaez@example.org,+34800234277,"Cañada de Marcial Padilla 971, La Coruña, 42216",Alicante,Djibouti,2024-02-22,Básico,,,,,,,,,0.0,,,,,,,,,
28.0,Delia,Querol,georgina23@example.org,+34724644086,"Alameda Marcela Fiol 1, Guadalajara, 07586",Teruel,Eritrea,2022-12-17,Standard,,,,,,,,,0.0,,,,,,,,,
29.0,Gustavo,Crespi,eabascal@example.org,+34947 182 190,"Camino de José Villalba 33, Ourense, 50871",Tarragona,Santa Lucía,2023-07-03,Premium,,,,,,,,,0.0,,,,,,,,,
30.0,Pía,Benavente,tdominguez@example.net,+34980146192,"Avenida Lourdes Marco 14 Piso 5 , Albacete, 19439",Baleares,Fiji,2023-09-30,Básico,,,,,,,,,0.0,,,,,,,,,
31.0,Florentino,Alvarado,maria-angeles45@example.net,+34882 909 971,"Plaza Fabio Fabra 35, La Coruña, 48274",Girona,Arabia Saudita,2025-04-21,Premium,,,,,,,,,0.0,,,,,,,,,
32.0,Victorino,Vallés,aangel@example.org,+34 872 50 57 92,"Camino de Tadeo Baena 662, Madrid, 31099",Ciudad,Belice,2024-07-11,Básico,,,,,,,,,0.0,,,,,,,,,
33.0,Trini,Alcántara,martinezalba@example.org,+34976 453 346,"Paseo de Antonia Barrera 7 Piso 2 , Córdoba, 13861",Guipúzcoa,Panamá,2025-08-21,Premium,,,,,,,,,0.0,,,,,,,,,
34.0,Obdulia,Villa,kromeu@example.com,+34977 27 93 89,"C. de Anabel Paz 2, Ávila, 01133",Salamanca,Irlanda,2024-01-29,Standard,,,,,,,,,0.0,,,,,,,,,
35.0,Laura,Berenguer,jafetalmeida@example.net,+34 800005620,"Pasadizo Néstor Cabañas 60, Alicante, 48613",Navarra,Micronesia,2024-08-21,Standard,,,,,,,,,0.0,,,,,,,,,
36.0,Pía,Cabeza,arnauencarnacion@example.com,+34825 501 137,"Rambla de Paca Mayoral 82 Piso 7 , Valencia, 39931",Tarragona,Mozambique,2025-02-24,Premium,,,,,,,,,0.0,,,,,,,,,
37.0,Valeria,Ayllón,leonardoariza@example.com,+34 976 39 89 16,"Pasadizo de Jaime Lladó 60 Piso 2 , Navarra, 09177",Badajoz,Finlandia,2024-11-01,Standard,,,,,,,,,0.0,,,,,,,,,
38.0,Jaime,Segarra,lasaazahara@example.net,+34 880 134 332,"Urbanización Eduardo Uría 53 Apt. 24 , Ávila, 47212",Huelva,Etiopía,2023-01-18,Premium,,,,,,,,,0.0,,,,,,,,,
39.0,Herminio,Llorente,demetrioferrandiz@example.com,+34 920 73 99 00,"Callejón Valeria Piñeiro 3, Jaén, 42380",Badajoz,Francia,2025-05-06,Básico,,,,,,,,,0.0,,,,,,,,,
40.0,Edu,Figuerola,lilianaverdejo@example.com,+34 882 34 13 94,"Plaza Jesusa Díaz 46 Puerta 0 , Almería, 36262",Pontevedra,Ucrania,2023-04-04,Básico,,,,,,,,,0.0,,,,,,,,,
41.0,Octavio,Manjón,emigdio40@example.net,+34706 99 29 75,"Callejón de Saturnina Bravo 324 Puerta 7 , Málaga, 36639",Ourense,Paraguay,2024-05-29,Standard,,,,,,,,,0.0,,,,,,,,,
42.0,Lino,Antúnez,angelinomiguel@example.org,+34 945985596,"Acceso Maite Sanchez 24, Navarra, 15291",Cantabria,Países Bajos,2024-01-28,Standard,,,,,,,,,0.0,,,,,,,,,
43.0,Visitación,Cañizares,adadiaadelardo@example.net,+34 828 842 974,"Acceso Adrián Castell 7 Piso 0 , Navarra, 02075",Almería,Cuba,2024-04-26,Básico,,,,,,,,,0.0,,,,,,,,,
44.0,Juan Manuel,Sancho,delfinacamps@example.com,+34 872850957,"Camino de Salomé Bustos 77 Apt. 33 , Murcia, 40526",Albacete,Liberia,2025-06-02,Standard,,,,,,,,,0.0,,,,,,,,,
45.0,Rafael,Sarmiento,utirado@example.com,+34 843 39 73 84,"Callejón de Virginia Ferreras 59, Alicante, 45788",Cuenca,Federación de Rusia,2024-01-24,Básico,,,,,,,,,0.0,,,,,,,,,
46.0,Cristian,Mate,jacinta62@example.com,+34922 522 991,"Glorieta de Esperanza Correa 29 Apt. 37 , Valladolid, 32552",Ceuta,Chipre,2024-08-01,Básico,,,,,,,,,0.0,,,,,,,,,
47.0,Enrique,Cuenca,toni19@example.org,+34 944837671,"Cuesta Haroldo Font 38, Navarra, 19677",Valladolid,Kazajstán,2024-03-27,Premium,,,,,,,,,0.0,,,,,,,,,
48.0,Luisina,Sobrino,velascoamada@example.org,+34 946 557 979,"Pasaje de Armida Bosch 55 Puerta 0 , Baleares, 43746",Cádiz,Chad,2023-10-08,Premium,,,,,,,,,0.0,,,,,,,,,
49.0,Marisol,Gárate,porfiriotorralba@example.net,+34735615747,"Ronda Erasmo Giménez 72 Puerta 8 , Sevilla, 42758",Vizcaya,República de Corea,2023-07-22,Básico,,,,,,,,,0.0,,,,,,,,,
50.0,Ale,Gallo,luis06@example.com,+34 806 16 04 69,"Glorieta Adelina Serna 34, Jaén, 09905",Burgos,Fiji,2025-07-01,Básico,,,,,,,,,0.0,,,,,,,,,
51.0,Reyes,Gámez,catalateofilo@example.com,+34846 49 95 45,"Via de Gil Olmo 2, Guadalajara, 13196",Málaga,Irlanda,2023-05-17,Premium,,,,,,,,,0.0,,,,,,,,,
52.0,Macaria,Elorza,manuelita24@example.net,+34718444871,"Cuesta Heliodoro Montalbán 43, Navarra, 35812",Cuenca,Italia,2023-06-07,Básico,,,,,,,,,0.0,,,,,,,,,
53.0,Anacleto,Baró,escamillabenigna@example.org,+34 900 562 988,"Pasaje de Hernán Gomis 4, Ciudad, 32489",Teruel,República de Moldova,2024-07-17,Básico,,,,,,,,,0.0,,,,,,,,,
54.0,Oriana,Cantero,rcriado@example.org,+34803 192 520,"Calle Mónica Alegre 410 Apt. 94 , Pontevedra, 10253",Álava,República Unida de Tanzanía,2023-12-13,Básico,,,,,,,,,0.0,,,,,,,,,
55.0,Jenny,Arévalo,florina75@example.net,+34 657 47 49 12,"Callejón Tomasa Juan 575, Badajoz, 14262",Guadalajara,Serbia,2022-11-15,Standard,,,,,,,,,0.0,,,,,,,,,
56.0,Lupe,Samper,arizacarmelita@example.net,+34 971938722,"Ronda de Pepita Manrique 4 Piso 6 , Murcia, 09922",Albacete,Bosnia y Herzegovina,2023-02-13,Premium,,,,,,,,,0.0,,,,,,,,,
57.0,Concepción,Cabo,zgarcia@example.net,+34 882 26 17 42,"Cañada de Custodio Ayllón 67 Apt. 36 , Guipúzcoa, 07467",Burgos,Tailandia,2022-12-07,Básico,,,,,,,,,0.0,,,,,,,,,
58.0,Francisco Javier,Samper,valladela@example.net,+34 843 025 899,"Pasadizo Eleuterio Monreal 817, Melilla, 20412",Vizcaya,Iraq,2023-12-10,Básico,,,,,,,,,0.0,,,,,,,,,
59.0,Juan Bautista,Tirado,lara59@example.net,+34986470849,"Cuesta de Loreto Niño 94, Girona, 15393",Albacete,Sierra Leona,2024-09-30,Standard,,,,,,,,,0.0,,,,,,,,,
60.0,Ildefonso,Ferreras,guardialeonel@example.com,+34 714 193 463,"Urbanización Miguela Ramis 16 Puerta 0 , Vizcaya, 32013",Zaragoza,Azerbaiyán,2025-06-21,Standard,,,,,,,,,0.0,,,,,,,,,
61.0,Aitana,Rozas,anselmasanmiguel@example.net,+34 926868480,"Glorieta Teófilo Priego 30, Santa Cruz de Tenerife, 26503",Almería,Luxemburgo,2023-03-06,Básico,,,,,,,,,0.0,,,,,,,,,
62.0,Haydée,Zabala,wabril@example.net,+34 975 66 17 44,"Pasaje Reyna Aroca 7 Piso 2 , Baleares, 04523",La Coruña,Bahamas,2025-09-07,Premium,,,,,,,,,0.0,,,,,,,,,
63.0,Mónica,Herrera,tandrade@example.org,+34 875625665,"Camino de Leyre Lastra 91, Burgos, 22038",Madrid,Suriname,2024-03-10,Standard,,,,,,,,,0.0,,,,,,,,,
64.0,Roque,Talavera,barriobasilio@example.net,+34923 03 78 17,"Glorieta de Leopoldo Salmerón 20 Piso 9 , Jaén, 16756",Salamanca,Santo Tomé y Príncipe,2023-03-16,Premium,,,,,,,,,0.0,,,,,,,,,
65.0,Mateo,Armengol,fjuarez@example.net,+34 946 945 352,"Urbanización de Aristides Arcos 62 Puerta 0 , Burgos, 45540",Guadalajara,China,2024-05-06,Standard,,,,,,,,,0.0,,,,,,,,,
66.0,Heliodoro,Ramos,lino73@example.net,+34880742015,"Alameda de Abel Abad 76 Puerta 4 , Salamanca, 20687",Palencia,Malasia,2022-12-23,Standard,,,,,,,,,0.0,,,,,,,,,
67.0,Donato,Marín,calderonjulie@example.com,+34902 036 044,"C. Isidora Egea 88 Puerta 9 , Vizcaya, 48117",Toledo,Samoa,2023-11-26,Premium,,,,,,,,,0.0,,,,,,,,,
68.0,Régulo,Toledo,albertofortunato@example.net,+34 983 17 90 79,"Calle Nacho Tomé 47, Huesca, 24913",Asturias,Madagascar,2025-01-31,Básico,,,,,,,,,0.0,,,,,,,,,
69.0,Aitor,Rey,evangelinaguitart@example.org,+34 976751434,"Avenida Marcela Barreda 43 Puerta 6 , Burgos, 43973",Ceuta,República Árabe Siria,2023-06-28,Premium,,,,,,,,,0.0,,,,,,,,,
70.0,Yéssica,Español,yoliva@example.net,+34720095481,"Avenida Clara Barroso 89 Piso 6 , Lleida, 08998",Badajoz,Bélgica,2023-01-18,Básico,,,,,,,,,0.0,,,,,,,,,
71.0,Faustino,Pombo,juan-antoniomiralles@example.net,+34807660534,"Pasadizo de Valeria Haro 638 Puerta 1 , Segovia, 46194",Guipúzcoa,Finlandia,2024-04-27,Básico,,,,,,,,,0.0,,,,,,,,,
72.0,Modesto,Cuevas,btorres@example.org,+34806 43 06 12,"Ronda de Lola Hoyos 44 Piso 5 , Zamora, 04391",Lugo,Ucrania,2025-05-15,Standard,,,,,,,,,0.0,,,,,,,,,
73.0,Che,Rios,colomaana-belen@example.net,+34 985 11 12 88,"Alameda Maximino Vendrell 215, Segovia, 15241",Navarra,Nauru,2023-03-26,Standard,,,,,,,,,0.0,,,,,,,,,
74.0,Luisa,Garcés,ana-sofiasaez@example.org,+34 843997487,"Callejón Florentina Marí 90 Apt. 28 , Valladolid, 20035",La Coruña,Benin,2024-06-26,Standard,,,,,,,,,0.0,,,,,,,,,
75.0,Malena,Bartolomé,maximilianojuan@example.org,+34976 478 710,"Cuesta Nieves Alberto 90, Burgos, 31646",Las Palmas,España,2023-04-04,Básico,,,,,,,,,0.0,,,,,,,,,
76.0,Bernabé,Porta,silviomaestre@example.org,+34 928 35 11 86,"Rambla de Borja Cabo 850, Santa Cruz de Tenerife, 25478",La Coruña,Liberia,2023-11-25,Básico,,,,,,,,,0.0,,,,,,,,,
77.0,Estrella,Gutiérrez,kalcalde@example.org,+34978 71 52 43,"Cuesta Débora Berrocal 1, Lleida, 24679",Álava,República de Macedonia del Norte,2025-03-16,Premium,,,,,,,,,0.0,,,,,,,,,
78.0,Sigfrido,Zamora,maria-cristina13@example.net,+34 821 946 475,"Acceso de Luis Ángel Matas 542 Piso 1 , Valladolid, 34026",Huesca,Granada,2024-09-26,Premium,,,,,,,,,0.0,,,,,,,,,
79.0,Irma,Criado,seveaguilera@example.com,+34 949871908,"Paseo Jenny Ortuño 57, Zaragoza, 05651",Salamanca,Rwanda,2023-08-25,Premium,,,,,,,,,0.0,,,,,,,,,
80.0,Bonifacio,Ramírez,apoloniamiro@example.net,+34902640198,"Camino de Crescencia Barbero 8, Burgos, 39008",Asturias,Palau,2025-10-22,Premium,,,,,,,,,0.0,,,,,,,,,
81.0,Ángel,Sola,gsalamanca@example.org,+34 824 437 332,"Callejón Dominga Ayuso 8 Apt. 01 , Alicante, 17287",Las Palmas,Bulgaria,2024-06-26,Básico,,,,,,,,,0.0,,,,,,,,,
82.0,Juana,Infante,gonzalo89@example.net,+34 920118110,"Vial José Ángel Prada 4, Valladolid, 22389",Palencia,Madagascar,2023-10-02,Básico,,,,,,,,,0.0,,,,,,,,,
83.0,Julie,Azcona,zbanos@example.com,+34945 97 52 58,"Cañada de Feliciana Álvaro 82 Apt. 88 , La Coruña, 19236",Girona,Tonga,2024-10-14,Premium,,,,,,,,,0.0,,,,,,,,,
84.0,Salud,Valenciano,gabrielarellano@example.com,+34915 48 46 67,"Cañada René Alba 12 Piso 5 , Pontevedra, 26106",Zamora,Djibouti,2024-01-30,Premium,,,,,,,,,0.0,,,,,,,,,
85.0,Cirino,Gárate,torrensrosario@example.org,+34846 381 055,"C. de Fermín Rebollo 90, Huesca, 04947",Asturias,Botswana,2024-06-01,Básico,,,,,,,,,0.0,,,,,,,,,
86.0,Tadeo,Acevedo,bmari@example.org,+34 941 68 57 84,"Urbanización de Xiomara Sevilla 46, Guipúzcoa, 04401",Girona,España,2025-01-02,Premium,,,,,,,,,0.0,,,,,,,,,
87.0,Domingo,Alberdi,ema25@example.net,+34875 748 917,"Pasadizo de Ligia Bayón 58 Puerta 4 , Álava, 48788",Vizcaya,Malta,2024-08-20,Standard,,,,,,,,,0.0,,,,,,,,,
88.0,Tomás,Blanco,conradoperez@example.org,+34 824 80 19 76,"Rambla de Eugenia Cózar 54 Piso 5 , Toledo, 32193",Ávila,Antigua y Barbuda,2023-11-28,Básico,,,,,,,,,0.0,,,,,,,,,
89.0,Tiburcio,Flores,mariapina@example.org,+34925 17 06 10,"Paseo Héctor Echevarría 68, Guipúzcoa, 03464",Vizcaya,Cabo Verde,2023-03-25,Standard,,,,,,,,,0.0,,,,,,,,,
90.0,Iker,Belmonte,constanza28@example.net,+34 925 453 487,"Calle de Tatiana Reguera 21 Apt. 88 , Ávila, 17851",Lleida,Túnez,2024-08-20,Standard,,,,,,,,,0.0,,,,,,,,,
91.0,Sebastian,Bonilla,maristela51@example.org,+34947044583,"Camino de Íngrid Carnero 43 Puerta 9 , Toledo, 23698",Guipúzcoa,Haití,2022-11-09,Básico,,,,,,,,,0.0,,,,,,,,,
92.0,Blas,Puga,sancho11@example.org,+34 948219365,"Camino de Epifanio Maza 36, Valencia, 50887",Madrid,Bangladesh,2025-07-16,Básico,,,,,,,,,0.0,,,,,,,,,
93.0,Atilio,Quesada,maria-angeles66@example.com,+34946695699,"Vial Chuy Tello 92, Huelva, 22934",Jaén,Lesotho,2024-08-28,Standard,,,,,,,,,0.0,,,,,,,,,
94.0,Casandra,Landa,carmelo06@example.net,+34 851 97 90 79,"Cañada de Emilia Roldán 3 Puerta 0 , Cantabria, 05835",Cantabria,Armenia,2024-02-17,Premium,,,,,,,,,0.0,,,,,,,,,
